// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

1165,Sandman,214285
1166,Savage,214285
1167,Savage Babe,357142
1169,Skeleton Worker,214285
1170,Sohee,214285
1174,Stainer,357142
1175,Tarou,357142
1176,Vitata,214285
1177,Zenorc,214285
1178,Zerom,214285
1179,Whisper,71428
1182,Thief Mushroom,71428
1186,Giant Whisper,71428
1188,Bongun,214285
1189,Orc Archer,71428
1191,Mimic,71428
1192,Wraith,71428
1193,Alarm,71428
1195,Rideword,71428
1199,Punk,71428
1200,Zealotus,71428
1205,Executioner,71428
1206,Anolian,71428
1208,Wanderer,71428
1209,Cramp,71428
1211,Brilight,71428
1213,High Orc,71428
1214,Choco,71428
1215,Stem Worm,214285
1216,Penomena,71428
1219,Abysmal Knight,71428
1258,Goblin Archer,214285
1261,Wild Rose,214285
1264,Merman,71428
1269,Clock,71428
1270,Clock Tower Manager,71428
1273,Orc Lady,214285
1277,Greatest General,214285
1279,Tri Joint,214285
1280,Goblin Steamrider,214285
1282,Kobold Archer,214285
1290,Skeleton General,71428
1296,Kobold Leader,71428
1297,Ancient Mummy,71428
1299,Goblin Leader,71428
1308,Panzer Goblin,71428
1370,Succubus,71428
1371,False Angel,71428
1374,Incubus,71428
1390,Violy,71428
// ~ Episode 2

//== Lutie =================//
1242,Marin,357142
1243,Sasquatch,214285
1246,Christmas Cookie,214285
1249,Myst Case,214285
1250,Chepet,71428
1265,Cookie,214285

//== Glast Heim  ===========//
1132,Khalitzburg,71428
1163,Raydric,71428
1194,Arclouze,71428
1196,Skeleton Prisoner,71428
1197,Zombie Prisoner,71428
1200,Zealotus,71428
1203,Mysteltainn,71428
1204,Ogretooth,71428
1206,Anolian,71428
1207,Sting,71428
1248,Cruiser,214285
1253,Gargoyle,71428
1257,Injustice,71428
1260,Dark Frame,71428
1263,Wind Ghost,71428
1267,Carat,71428
1268,Bloody Knight,71428
1275,Alice,71428
1276,Raydric Archer,71428
1278,Stalactic Golem,71428
1281,Sage Worm,71428
1310,Majoruros,71428
1320,Owl Duke,71428

// ~ Episode 3

//== Prontera Culvert  ===========//
1054,Male Thief Bug,357142

//== Comodo  ===========//
1073,Crab,214285
1074,Shellfish,357142
1254,Raggler,214285
1255,Neraid,214285
1256,Pest,214285
1259,Gryphon,71428
1261,Wild Rose,214285
1262,Mutant Dragonoid,71428
1266,Aster,357142
1271,Alligator,71428
1274,Megalith,71428
1283,Chimera,71428
1313,Mobster,71428
1317,Seal,71428
1323,Sea Otter,71428
